"expIndex","subject","scenario","round","weight_selected","target","weak_strength","strong_strength","agent_selected"
"exp1",29,4,2,4,13.5,5.4,8.5,2
"exp1",29,4,3,2,13.5,5.77,8.5,1
"exp1",30,1,0,NA,11,2,8,NA
"exp1",30,1,1,8,11,2,9,2
"exp1",30,1,2,0,11,2,9,0
"exp1",30,1,3,0,11,2,9,0
"exp1",30,2,0,NA,12,3,8,NA
"exp1",30,2,1,8,12,3,9,2
"exp1",30,2,2,8,12,3,9.88,2
"exp1",30,2,3,0,12,3,9.88,0
"exp1",30,3,0,NA,13,3,9,NA
"exp1",30,3,1,8,13,3,9.88,2
"exp1",30,3,2,8,13,3,10.68,2
"exp1",30,3,3,0,13,3,10.68,0
"exp1",30,4,0,NA,13.5,5,8,NA
"exp1",30,4,1,8,13.5,5,9,2
"exp1",30,4,2,0,13.5,5,9,0
"exp1",30,4,3,0,13.5,5,9,0
"exp1",31,1,0,NA,11,2,8,NA
"exp1",31,1,1,8,11,2,9,2
"exp1",31,1,2,8,11,2,9.88,2
"exp1",31,1,3,0,11,2,9.88,0
"exp1",31,2,0,NA,12,3,8,NA
"exp1",31,2,1,2,12,3.66,8,1
"exp1",31,2,2,2,12,4.2,8,1
"exp1",31,2,3,0,12,4.2,8,0
"exp1",31,3,0,NA,13,3,9,NA
"exp1",31,3,1,2,13,3.66,9,1
"exp1",31,3,2,2,13,4.2,9,1
"exp1",31,3,3,0,13,4.2,9,0
"exp1",31,4,0,NA,13.5,5,8,NA
"exp1",31,4,1,4,13.5,5.8,8,1
"exp1",31,4,2,0,13.5,5.8,8,0
"exp1",31,4,3,0,13.5,5.8,8,0
"exp1",32,1,0,NA,11,2,8,NA
"exp1",32,1,1,8,11,2,9,2
"exp1",32,1,2,8,11,2,9,1
"exp1",32,1,3,8,11,2,9.88,2
"exp1",32,2,0,NA,12,3,8,NA
"exp1",32,2,1,8,12,3,9,2
"exp1",32,2,2,2,12,3.66,9,1
"exp1",32,2,3,8,12,3.66,9.88,2
"exp1",32,3,0,NA,13,3,9,NA
"exp1",32,3,1,6,13,3,9,1
"exp1",32,3,2,8,13,3,9.88,2
"exp1",32,3,3,2,13,3.66,9.88,1
"exp1",32,4,0,NA,13.5,5,8,NA
"exp1",32,4,1,8,13.5,5,9,2
"exp1",32,4,2,4,13.5,5.8,9,1
"exp1",32,4,3,8,13.5,5.8,9.88,2
"exp1",33,1,0,NA,11,2,8,NA
"exp1",33,1,1,2,11,3,8,1
"exp1",33,1,2,2,11,3.66,8,1
"exp1",33,1,3,8,11,3.66,9,2
"exp1",33,2,0,NA,12,3,8,NA
"exp1",33,2,1,8,12,3,9,2
"exp1",33,2,2,8,12,3,9.88,2
"exp1",33,2,3,2,12,3.66,9.88,1
"exp1",33,3,0,NA,13,3,9,NA
"exp1",33,3,1,4,13,3,9,1
"exp1",33,3,2,2,13,3.66,9,1
"exp1",33,3,3,8,13,3.66,9.88,2
"exp1",33,4,0,NA,13.5,5,8,NA
"exp1",33,4,1,4,13.5,5.8,8,1
"exp1",33,4,2,4,13.5,6.48,8,1
"exp1",33,4,3,8,13.5,6.48,9,2
"exp1",34,1,0,NA,11,2,8,NA
"exp1",34,1,1,2,11,3,8,1
"exp1",34,1,2,0,11,3,8,0
"exp1",34,1,3,0,11,3,8,0
"exp1",34,2,0,NA,12,3,8,NA
"exp1",34,2,1,2,12,3.66,8,1
"exp1",34,2,2,2,12,4.2,8,1
"exp1",34,2,3,0,12,4.2,8,0
"exp1",34,3,0,NA,13,3,9,NA
"exp1",34,3,1,2,13,3.66,9,1
"exp1",34,3,2,2,13,4.2,9,1
