"expIndex","subject","target","round","weak_strength","strong_strength","agent_selected","weight_selected","scenario","team"
"exp2-2",30,24,2,2,40.34,2,6,1,"<2,40>"
"exp2-2",30,24,3,2,40.53,2,8,1,"<2,40>"
"exp2-2",30,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",30,50,1,20.3,40,1,6,2,"<20,40>"
"exp2-2",30,50,2,20.49,40,1,4,2,"<20,40>"
"exp2-2",30,50,3,20.78,40,1,6,2,"<20,40>"
"exp2-2",30,61,0,8,20,NA,NA,3,"<8,20>"
"exp2-2",30,61,1,8.25,20,1,2,3,"<8,20>"
"exp2-2",30,61,2,8.25,20.2,2,4,3,"<8,20>"
"exp2-2",30,61,3,8.25,20.39,2,4,3,"<8,20>"
"exp2-2",31,24,0,8,40,NA,NA,1,"<8,40>"
"exp2-2",31,24,1,8,40,0,0,1,"<8,40>"
"exp2-2",31,24,2,8.25,40,1,2,1,"<8,40>"
"exp2-2",31,24,3,8.25,40.1,2,4,1,"<8,40>"
"exp2-2",31,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",31,50,1,20,40,0,0,2,"<20,40>"
"exp2-2",31,50,2,20.2,40,1,4,2,"<20,40>"
"exp2-2",31,50,3,20.2,40.15,2,6,2,"<20,40>"
"exp2-2",31,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",31,61,1,20,40,0,0,3,"<20,40>"
"exp2-2",31,61,2,20.2,40,1,4,3,"<20,40>"
"exp2-2",31,61,3,20.2,40.15,2,6,3,"<20,40>"
"exp2-2",32,24,0,2,40,NA,NA,1,"<2,40>"
"exp2-2",32,24,1,2,40,0,0,1,"<2,40>"
"exp2-2",32,24,2,2,40,0,0,1,"<2,40>"
"exp2-2",32,24,3,2,40,0,0,1,"<2,40>"
"exp2-2",32,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",32,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",32,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",32,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",32,61,0,2,20,NA,NA,3,"<2,20>"
"exp2-2",32,61,1,2,20.4,2,8,3,"<2,20>"
"exp2-2",32,61,2,2,20.79,2,8,3,"<2,20>"
"exp2-2",32,61,3,2,21.17,2,8,3,"<2,20>"
"exp2-2",33,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",33,24,1,8.5,20,1,4,1,"<8,20>"
"exp2-2",33,24,2,9.2,20,1,6,1,"<8,20>"
"exp2-2",33,24,3,9.2,20,0,2,1,"<8,20>"
"exp2-2",33,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",33,50,1,20.1,40,1,2,2,"<20,40>"
"exp2-2",33,50,2,20.1,40.05,2,2,2,"<20,40>"
"exp2-2",33,50,3,20.1,40.05,0,2,2,"<20,40>"
"exp2-2",33,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",33,61,1,20.2,40,1,4,3,"<20,40>"
"exp2-2",33,61,2,20.2,40.15,2,6,3,"<20,40>"
"exp2-2",33,61,3,20.39,40.15,1,4,3,"<20,40>"
"exp2-2",34,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",34,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",34,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",34,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",34,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",34,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",34,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",34,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",34,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",34,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",34,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",34,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",35,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",35,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",35,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",35,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",35,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",35,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",35,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",35,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",35,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",35,61,1,20.4,40,1,8,3,"<20,40>"
