"expIndex","subject","target","round","weak_math","strong_math","agent_selected","pset_selected","scenario","team"
"exp4",36,24,1,8,20,0,0,1,"<8,20>"
"exp4",36,24,2,8,20,0,0,1,"<8,20>"
"exp4",36,24,3,8,20,0,0,1,"<8,20>"
"exp4",36,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",36,50,1,9,40,1,8,2,"<8,40>"
"exp4",36,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",36,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",36,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",36,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",36,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",36,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",37,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",37,24,1,3,20,1,2,1,"<2,20>"
"exp4",37,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",37,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",37,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",37,50,1,9,40,1,8,2,"<8,40>"
"exp4",37,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",37,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",37,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",37,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",37,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",37,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",38,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",38,24,1,3,20,1,2,1,"<2,20>"
"exp4",38,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",38,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",38,50,0,8,40,NA,NA,2,"<8,40>"
